"Sample","Region","Years","ACE2","ADAM17","ANPEP","AXL","CD209","CEACAM1","CLEC4G","CLEC4M","CTSL1","DPP4","ENPEP","FURIN","ITGA2B","ITGA3","ITGA5","ITGA8","ITGAL","ITGAM","ITGAV","ITGB1","ITGB2","ITGB3","ITGB6","ITGB8","NRP1","NRP2","SCARB1","TMPRSS2"
"HSB92_A1C_R","A1C",0.4038,"4.02147","6.19084","5.50894","5.95993","4.17301","4.11246","4.67067","3.917","5.16494","5.5559","4.51956","7.14308","4.37694","6.96579","6.41547","4.8182","4.38522","4.10471","7.79237","8.03663","5.78828","4.15595","3.82393","9.86411","9.56957","6.18998","6.8795","4.14229"
"HSB92_AMY_R","AMY",0.4038,"3.62034","7.4227","5.0531","5.95848","3.79083","3.93723","4.754","3.43793","6.01146","4.679","3.84209","7.07992","4.16028","6.92862","6.05515","5.39946","4.09024","4.22557","8.40931","7.69496","5.52775","3.92619","3.90681","9.83551","8.9371","7.22224","6.92577","3.90817"
"HSB92_CBC_R","CBC",0.4038,"3.87044","7.44813","5.09667","6.7419","3.81383","4.43888","4.81131","3.60015","5.35451","3.81825","3.88248","6.97962","4.57838","6.15251","6.29349","3.84366","4.17182","4.06653","8.53499","8.74246","5.56377","3.86207","3.6579","8.92561","6.54991","5.80536","6.36054","4.09528"
"HSB92_DFC_R","DFC",0.4038,"4.12436","6.62975","5.37151","5.47947","4.19732","4.42094","4.89161","3.69748","5.77965","5.66926","3.79496","7.35449","4.78191","7.06516","6.27959","4.17934","4.57278","4.29528","6.33015","7.44985","5.01252","4.26918","4.20592","8.12092","8.68737","7.05506","7.63982","4.23787"
"HSB92_HIP_R","HIP",0.4038,"3.68172","7.20528","5.1401","6.75875","3.76076","3.86815","5.43648","3.38662","5.59265","4.50776","4.19372","7.12902","4.19493","7.30788","6.13884","5.96019","4.10002","3.99929","9.02058","8.39479","5.18025","4.0917","3.8492","9.78677","10.7715","8.58558","7.21823","3.80755"
"HSB92_IPC_R","IPC",0.4038,"3.7648","6.69456","5.28721","5.70885","3.88088","4.41694","4.58732","3.80259","5.38542","5.69338","4.183","7.07602","4.43061","7.01737","6.31404","4.3821","4.5238","4.10581","7.46596","7.70537","5.46535","4.57838","3.93073","8.56725","8.76363","6.87505","7.36245","4.29445"
"HSB92_ITC_R","ITC",0.4038,"3.65259","7.11275","5.02953","7.15318","3.65611","3.9426","4.62379","3.47696","6.11275","5.42227","3.85334","7.08044","4.14709","6.85908","6.16358","4.40543","4.27505","4.28089","8.71649","8.40576","6.17099","4.08796","3.91223","10.3731","10.0261","6.85895","7.00526","3.91685"
"HSB92_M1C_R","M1C",0.4038,"3.98279","6.98624","5.38186","5.09437","3.90704","4.31556","4.30583","3.65856","5.34735","5.46327","4.18189","7.16813","4.50218","6.97437","6.15755","4.53982","4.08824","4.16785","6.86614","7.18483","4.97633","4.31575","3.72963","7.87775","8.20762","6.94445","7.87746","4.18979"
"HSB92_MD_R","MD",0.4038,"3.82147","7.89543","5.15813","6.94111","4.51965","4.14696","5.20149","3.83732","7.57291","3.80916","5.52756","6.44261","4.63657","7.34097","6.08786","4.36807","4.30224","4.30222","8.71836","8.46655","5.89402","4.07379","4.14568","11.1204","8.84226","8.7884","6.64469","4.30678"
"HSB92_MFC_R","MFC",0.4038,"3.81735","6.8888","5.55131","5.34784","4.28399","4.42279","4.68676","3.88251","5.08459","5.3624","4.00811","7.34172","4.5793","7.08904","6.07934","4.24343","4.1799","4.16783","6.30986","7.49127","4.65365","4.19081","3.8972","8.07157","8.7973","6.20022","7.97545","3.79367"
"HSB92_OFC_R","OFC",0.4038,"3.7818","7.1883","5.13508","5.36084","3.90945","4.15104","4.77212","3.9563","5.35631","5.17652","3.89731","7.63266","4.44365","6.89077","6.28623","3.96664","4.20276","4.19109","6.9806","7.92463","5.02253","4.36708","3.71858","8.97936","9.20832","6.51727","7.2937","3.80695"
"HSB92_S1C_R","S1C",0.4038,"3.95528","6.68311","5.40166","5.31065","4.01065","4.49398","5.14595","3.60099","5.68854","5.2083","4.19854","7.25098","4.52322","7.17092","6.40955","4.72632","4.39499","4.14403","7.07272","7.40771","5.12582","4.4716","4.03549","7.17822","7.77182","7.58998","8.19746","4.35441"
"HSB92_STC_R","STC",0.4038,"3.69931","7.00872","5.08221","5.01103","3.53966","4.1537","4.5217","3.65556","5.66271","5.09288","3.85962","6.80234","4.36491","7.2089","5.45102","4.51707","4.10047","3.95272","7.16763","7.28141","5.0304","4.45032","3.89409","8.64736","8.80317","6.06843","7.14149","4.00913"
"HSB92_STR_R","STR",0.4038,"4.24513","6.70518","5.14355","6.03736","4.21799","4.58539","4.71757","3.51907","5.10023","4.2795","4.0149","7.18883","4.8608","6.65142","5.87153","4.21688","4.28278","4.21923","7.70205","7.46902","5.40523","3.89626","4.19256","8.8542","7.16578","6.48696","7.02683","4.11872"
"HSB92_V1C_R","V1C",0.4038,"3.74963","7.31657","5.03289","4.94294","3.70019","4.2723","4.58634","3.54276","5.37097","5.36178","4.02648","6.97539","4.35885","7.27357","5.69688","3.87195","4.11673","4.0561","7.34103","7.1485","4.49748","4.08317","3.88544","8.06553","8.59921","6.77335","7.25607","4.17416"
"HSB92_VFC_R","VFC",0.4038,"3.88014","6.70678","5.35677","5.32644","4.17855","4.4532","4.62486","3.49426","5.36114","5.41308","4.31534","7.23492","4.64346","7.20724","5.28069","4.32413","4.21539","4.12243","6.38318","7.10709","4.84573","4.25734","3.87081","7.93822","8.45738","6.4575","8.03286","4.08463"
"HSB96_A1C_L","A1C",0.3077,"4.25281","6.66072","4.86893","5.07124","4.16897","4.62445","5.14649","3.77627","5.47772","5.90926","4.22462","6.76514","4.8665","6.66958","5.40954","4.45443","4.4252","4.356","6.72704","7.86265","5.30328","5.33425","4.32861","8.18673","7.06097","5.89109","6.89821","4.26642"
"HSB96_A1C_R","A1C",0.3077,"3.7091","7.00465","4.9733","4.97711","4.1026","4.1469","4.55787","3.70681","5.80974","5.33271","3.70111","6.6974","4.56441","6.73721","5.2386","4.09854","4.30525","4.06869","7.43209","8.32069","5.00938","4.9339","4.16506","8.66288","7.96414","6.50799","7.0355","4.22609"
"HSB96_CBC_NA","CBC",0.3077,"4.17624","6.95104","4.57581","6.78427","3.89492","4.11913","5.11325","3.72928","6.45221","4.38812","4.52582","6.33824","4.93213","6.01516","6.13121","4.71042","4.21489","4.06477","7.45131","8.28912","5.98487","4.42778","4.35826","8.73531","7.389","6.57282","6.76737","4.06959"
"HSB96_DFC_L","DFC",0.3077,"3.78817","7.08637","4.61273","5.80127","3.90329","4.10772","4.79795","3.7548","5.9029","6.86314","3.97216","6.35436","4.52984","5.80909","5.47493","3.67631","4.18401","3.9153","7.9102","9.43573","4.59514","5.0491","3.95292","9.71182","9.41131","6.39152","7.07381","3.90971"
"HSB96_DFC_R","DFC",0.3077,"4.11693","6.92089","4.56601","6.0039","3.65042","3.98868","4.61879","3.68044","5.39444","6.63449","4.08083","6.28198","4.62712","5.88824","5.7583","4.04786","3.92092","3.82683","7.79251","8.73666","5.04841","4.99544","3.85175","9.75862","9.4897","6.37311","7.28453","4.12868"
"HSB96_HIP_L","HIP",0.3077,"4.20713","5.96089","4.59809","5.09272","4.59748","4.15361","5.43519","3.56453","5.60244","5.71285","4.48555","6.17789","4.92231","6.68732","5.43336","4.92627","4.52802","4.44327","7.75745","7.62642","5.21857","5.0808","4.13042","7.78703","10.4805","7.62094","7.00614","4.37998"
"HSB96_HIP_R","HIP",0.3077,"4.25015","6.22569","4.86021","5.64009","4.1342","4.74739","4.83254","3.96129","5.97568","4.6062","4.33117","6.47495","4.95188","6.63008","5.65889","5.43362","4.29027","4.13244","8.30184","7.7681","5.57347","5.06273","4.29717","7.61569","11.0506","7.94598","7.55797","4.18905"
"HSB96_IPC_L","IPC",0.3077,"3.80936","6.77571","4.78083","5.42237","3.91125","4.25535","4.92342","3.44304","5.18145","5.87344","3.84589","6.68566","4.65098","6.32321","5.58882","3.80333","4.21208","3.9913","8.00097","8.56775","5.17779","5.52639","3.97616","9.1482","8.53525","6.42966","7.16118","4.03274"
"HSB96_IPC_R","IPC",0.3077,"4.22972","6.60361","4.34485","5.67586","3.96756","4.53209","4.65344","4.04483","5.02646","5.69158","4.08163","6.89073","4.49826","6.41861","5.74124","4.20821","4.24853","3.98764","7.44271","8.60633","5.34539","5.46047","3.94734","8.69057","8.34106","6.23956","7.25915","4.37093"
"HSB96_MD_L","MD",0.3077,"3.81147","7.0497","4.64319","5.52142","3.91656","4.25182","4.95092","3.54387","6.4263","4.01065","3.75689","6.39823","4.59984","7.67772","6.0369","7.67881","4.28328","4.06246","8.13371","8.30586","5.38122","3.95274","3.95858","7.8421","6.94637","7.2413","6.47376","4.27859"
"HSB96_MD_R","MD",0.3077,"4.08738","6.82178","4.74734","6.95452","3.93299","4.2151","4.48257","3.50623","7.09985","4.40911","4.08783","6.16016","4.79302","7.27921","5.84456","6.41009","4.69822","4.70841","7.71746","8.40289","6.65727","4.28734","3.87878","7.83333","7.27266","6.60015","6.91394","3.85745"
"HSB96_MFC_L","MFC",0.3077,"3.68243","7.00399","4.67163","6.17674","3.55816","4.01159","4.8068","3.46726","6.36219","6.35963","3.79019","6.80534","4.41443","6.10322","5.55816","4.15681","4.04919","3.99044","7.89253","9.06104","4.98926","5.27257","3.75953","10.0238","10.1005","6.24189","7.42444","3.90604"
"HSB96_MFC_R","MFC",0.3077,"3.60637","7.2545","4.54613","6.02258","3.60201","3.89962","4.55105","3.45032","5.52518","6.38943","3.90973","6.80697","4.47361","6.06506","5.66526","3.98306","4.09197","3.94253","8.44326","9.05017","4.86844","5.2735","3.8104","10.2272","10.0805","6.22009","7.21513","4.05503"
"HSB96_STC_L","STC",0.3077,"3.75434","7.0753","4.6122","5.36601","3.66588","4.12369","4.48132","3.37815","5.37559","5.63479","3.88182","6.7713","4.5731","6.3858","5.261","4.88916","4.0416","3.9029","7.91148","8.54841","5.12147","4.01325","3.85328","9.57019","8.61646","7.53175","6.58681","4.10412"
"HSB96_STC_R","STC",0.3077,"3.63298","7.41055","4.63793","5.43719","3.51447","3.92123","4.71753","3.45453","5.30309","5.25881","3.64932","6.37834","4.40974","6.43516","5.36144","5.4946","4.07468","4.06307","8.07042","8.72057","5.8089","4.03868","3.77318","9.62285","8.48497","7.1303","6.61802","3.84953"
"HSB96_STR_L","STR",0.3077,"3.96633","6.81635","4.81192","5.95871","3.71908","3.93535","5.5147","3.7705","6.19143","3.89899","3.9359","6.84192","4.57005","6.56799","5.69616","3.91926","4.10802","3.92675","7.6389","8.17332","5.69109","4.15458","4.0682","8.87339","6.97439","6.56764","6.8771","3.68036"
"HSB96_STR_R","STR",0.3077,"3.99042","6.46917","4.77615","5.51652","3.79717","4.36375","4.78641","3.61966","5.17632","3.91748","3.83187","7.01707","4.68851","6.18956","5.86753","4.0259","4.19682","3.99041","7.16909","8.40007","4.93171","4.02087","3.95945","8.8042","7.08726","5.88434","6.49148","4.17007"
"HSB96_V1C_L","V1C",0.3077,"4.16163","6.63514","4.21026","6.28046","3.74579","4.34819","4.75537","3.95538","4.91245","6.09106","3.96289","6.60163","4.55145","6.05098","5.83106","3.88672","4.45836","4.10127","8.56474","8.97202","5.37907","5.88346","4.18545","9.61325","8.91388","5.22649","6.87666","4.1309"
"HSB96_V1C_R","V1C",0.3077,"3.73172","6.84169","4.5604","5.80447","4.24708","4.21089","4.43899","3.85676","5.12989","5.9433","3.69601","6.80248","4.63977","6.48193","5.24677","3.79664","4.26706","4.40662","8.50901","8.84987","5.24035","6.1891","3.935","9.37609","8.55201","5.4576","7.0196","3.79589"
"HSB96_VFC_L","VFC",0.3077,"4.07087","6.60591","4.45673","5.27829","4.09008","4.42676","4.90702","3.65722","5.92126","6.87739","4.33815","6.65152","4.79211","6.62205","5.76995","4.08053","4.25503","3.94304","6.90663","8.01645","5.41884","5.86265","3.96269","7.58393","7.50514","6.20475","7.32146","4.0503"
"HSB96_VFC_R","VFC",0.3077,"3.59218","7.25029","4.51106","4.92723","3.63617","4.02801","4.42238","3.50391","5.60083","6.43947","3.7202","6.4205","4.30036","6.73723","5.51683","3.89448","4.06924","4.05624","7.30217","8.04241","5.0879","4.9712","3.65766","8.9346","7.87192","7.36097","7.1236","3.75601"
"HSB97_A1C_L","A1C",0.3269,"4.32032","6.58476","4.42141","4.92818","4.01457","4.2427","5.15005","3.84341","5.57987","5.68441","4.47339","6.46134","4.90955","6.85755","5.44725","4.24079","4.05651","4.12754","6.67459","7.82677","4.82256","5.16071","4.40776","8.4722","7.98247","6.65767","6.78455","4.17441"
"HSB97_A1C_R","A1C",0.3269,"3.82739","7.34086","4.53881","5.2936","3.80145","4.33856","4.7443","3.46164","5.59937","5.81969","3.6454","6.86443","4.4331","6.76104","4.9626","4.13553","4.27831","3.92844","6.94291","8.04461","4.17788","4.94767","4.22884","9.24001","8.54717","6.71605","6.84085","4.22119"
"HSB97_AMY_L","AMY",0.3269,"4.04037","7.23646","5.12407","6.6351","4.15879","4.54262","4.62362","4.14484","4.74827","4.40198","3.67467","6.28683","4.83958","5.67746","5.20727","3.95567","4.3954","4.09896","8.10542","8.81924","4.83326","4.10759","4.26323","10.2605","7.78409","5.62058","5.95495","4.04776"
"HSB97_AMY_R","AMY",0.3269,"3.67365","7.37706","4.7134","5.86425","3.78032","4.11703","4.45297","3.54677","5.52251","3.95949","3.63023","6.56179","4.32411","6.13018","4.99901","4.27142","4.30862","3.99215","7.78112","8.36748","4.96898","3.8024","4.03524","9.91748","7.08309","7.46566","6.09602","3.79767"
"HSB97_CBC_L","CBC",0.3269,"3.55755","7.69036","4.75146","6.71449","3.92151","3.95872","5.07769","3.5502","6.33439","3.8405","3.63427","6.59962","4.31009","5.76527","5.36738","4.3786","4.25058","4.10063","8.28982","8.22439","5.54195","3.9552","3.78167","9.89138","7.20369","6.71695","6.03356","3.79833"
"HSB97_CBC_R","CBC",0.3269,"3.60687","7.80409","4.79105","6.79867","3.71438","3.77963","5.18111","3.4141","6.70062","3.69945","3.68738","6.31891","4.10132","5.98712","5.56502","4.21135","4.03431","4.04522","8.0721","8.42194","5.59524","3.83732","3.60458","9.48559","7.33199","6.76615","6.438","3.76212"
"HSB97_DFC_L","DFC",0.3269,"3.68648","7.28726","4.77096","5.01038","3.77364","4.07989","4.49252","3.5038","6.16701","5.51992","3.71044","6.78397","4.41058","6.62891","5.12913","3.88874","4.10917","3.76655","6.37614","7.77138","4.56473","4.57292","3.46452","8.24601","9.3127","6.37629","7.62129","3.85873"
"HSB97_DFC_R","DFC",0.3269,"3.85227","7.24444","4.965","5.21803","3.68944","3.9711","4.49163","3.57855","6.24308","5.47986","3.84789","7.01145","4.17121","6.44339","5.02315","3.88803","3.92717","3.8705","6.62159","8.18956","4.60437","4.33913","3.72693","8.23574","9.05696","6.34788","7.80671","3.76987"
"HSB97_HIP_L","HIP",0.3269,"3.78145","7.169","4.77727","6.14276","3.84392","4.16278","4.5669","3.58932","6.09521","4.30085","4.19517","6.6094","4.14229","6.42882","5.54012","5.87176","4.1635","3.94081","8.62945","8.27367","5.07344","4.82696","3.76978","9.61354","10.9744","8.67195","6.77826","3.76848"
"HSB97_HIP_R","HIP",0.3269,"3.68988","7.21673","4.58952","6.53388","3.47891","4.16673","4.45334","3.46464","7.02085","3.87272","3.99882","6.65963","4.12078","6.51132","6.0999","5.42788","4.14463","4.05095","8.5684","8.9145","5.48455","4.75338","3.72479","10.1476","11.3495","8.8082","6.89564","3.84873"
"HSB97_IPC_L","IPC",0.3269,"3.74631","6.96829","4.8288","4.7295","3.99634","4.101","4.805","3.48581","5.48443","6.11146","4.19774","6.40251","4.37546","6.9165","5.42446","4.05784","4.24836","3.7967","6.68278","8.08817","4.97101","5.18637","4.09064","8.46675","8.39769","7.37329","7.42962","3.8078"
"HSB97_IPC_R","IPC",0.3269,"4.47151","6.34329","4.9087","5.34217","3.7798","4.7303","4.88039","3.62636","5.83063","5.67164","4.31114","6.96704","4.56983","6.77778","5.64885","4.32974","4.54966","3.9571","6.34922","8.10922","5.01622","5.20551","4.40946","7.79988","8.38281","7.09946","7.11185","4.4661"
"HSB97_MD_L","MD",0.3269,"3.84315","7.15647","4.63428","5.4388","3.63702","4.20558","4.60541","3.34258","7.00854","3.73861","3.84166","6.58113","4.43026","7.47263","5.41291","4.32063","4.08272","3.80573","8.62537","8.15436","5.24463","4.11419","4.04712","8.76998","7.03005","7.4341","6.32766","3.96814"
"HSB97_MD_R","MD",0.3269,"3.92476","7.23516","5.18116","6.21154","3.73799","3.92506","5.5613","3.61787","7.33074","3.82019","3.93946","5.82805","4.38233","7.55075","5.55284","4.60543","4.11192","3.94067","8.45035","8.10195","4.97167","3.97989","3.58966","9.52206","7.81412","7.52662","6.74802","3.80988"
"HSB97_MFC_L","MFC",0.3269,"3.95181","6.79796","4.51682","5.07007","3.66992","3.83215","4.56613","3.64975","6.42709","5.62491","3.97374","6.71058","4.23865","6.71388","5.34673","4.24997","4.03509","3.8819","6.66564","8.13597","4.93687","4.72916","3.75518","8.28291","8.79664","7.08555","7.8553","4.13768"
"HSB97_MFC_R","MFC",0.3269,"3.87316","7.02656","4.98705","6.46994","3.90838","4.34293","4.92236","3.62026","5.83108","5.07839","3.79418","7.05852","4.6605","6.26949","5.67526","4.10058","4.12172","4.02943","7.52259","9.0836","5.07559","4.67419","3.95546","9.77888","9.47468","6.24365","7.35189","4.05801"
"HSB97_OFC_L","OFC",0.3269,"3.93055","6.74917","4.8079","5.46807","3.90586","4.03678","4.56183","3.45182","5.81607","5.29377","3.98013","7.10721","4.45047","6.3976","5.1509","4.02064","4.1296","3.80426","6.86748","8.56373","5.0441","4.38546","3.71568","9.26805","9.17418","7.17623","7.26632","4.18759"
"HSB97_OFC_R","OFC",0.3269,"3.74631","6.92216","4.60675","5.17711","3.48757","4.51187","4.4517","3.27989","6.28286","5.29715","3.90736","7.4061","4.25352","6.62278","4.85198","3.94894","3.93113","3.85071","7.11885","8.08073","4.67007","4.30227","3.88782","8.97282","8.96462","7.2631","7.37465","3.8706"
"HSB97_STC_L","STC",0.3269,"4.32733","6.99348","4.54333","5.71346","3.68758","4.57497","5.16424","3.64358","5.54672","5.67143","4.25541","6.36329","4.61627","6.45681","5.09611","4.24138","4.05845","4.0009","7.08497","8.4654","4.56967","4.87302","4.21376","9.01719","8.53099","6.04085","6.44294","3.91915"
"HSB97_STC_R","STC",0.3269,"4.27915","6.87489","4.79641","5.00176","3.81245","4.34655","4.61755","3.64765","5.01383","6.39741","4.35879","6.4932","4.87306","6.64458","5.40719","4.59495","4.56","3.95424","6.7445","7.44431","5.08524","4.94996","4.24706","8.80987","7.65331","6.54455","6.32125","4.46366"
"HSB97_STR_L","STR",0.3269,"3.8772","7.40942","4.66384","6.03972","3.91763","3.98855","5.05576","3.41334","5.85879","3.86608","3.90752","6.44756","4.57236","6.36666","5.42627","4.06029","4.248","3.9798","8.06187","8.05907","5.22588","3.87248","4.15893","9.72473","7.51466","8.20016","6.59004","3.94058"
"HSB97_STR_R","STR",0.3269,"3.90363","7.29548","4.57077","5.78173","3.87161","4.05183","5.14737","3.48409","5.10876","3.75807","3.96611","6.84874","4.49912","5.79412","5.39351","3.83494","4.10271","3.83977","7.58599","8.49615","4.73735","3.96992","3.90203","9.17197","6.20022","4.88032","6.63253","4.15853"
"HSB97_V1C_L","V1C",0.3269,"3.80467","7.09684","4.80085","5.59768","3.75133","4.09452","4.71208","3.49048","5.53445","5.31016","3.6421","6.73191","4.3954","6.54015","5.03745","3.75049","4.08809","3.92324","7.92957","8.44045","5.13781","5.26213","3.63243","9.38286","9.27393","4.62529","7.10541","4.18698"
"HSB97_V1C_R","V1C",0.3269,"4.53972","6.02545","5.00438","6.12759","4.18972","4.32088","4.55496","3.81768","5.42251","5.06874","4.66288","6.75861","4.91593","6.37154","5.68715","4.35873","4.54061","4.04595","7.16211","8.81528","5.12567","6.0198","3.83912","8.81792","9.52746","4.51795","7.50004","4.06471"
"HSB97_VFC_L","VFC",0.3269,"3.6256","7.37485","4.57892","6.00994","3.72384","4.04221","4.59087","3.51584","6.24741","5.90578","3.76485","6.75136","4.46734","6.3186","5.24555","3.86768","3.89391","3.7937","7.32232","8.34627","4.48561","4.41627","3.89882","9.56136","9.12214","6.43237","7.37529","3.57805"
"HSB97_VFC_R","VFC",0.3269,"3.61873","7.42405","4.91486","5.11923","3.737","4.04102","4.4442","3.47157","6.56884","5.93266","3.77512","7.15498","4.3662","6.56702","5.23431","3.92307","3.99063","3.81099","6.94416","7.95139","4.72446","4.55404","3.81319","8.66174","8.54868","6.68628","7.49703","3.58856"
"HSB98_A1C_L","A1C",0.3654,"3.87596","6.4716","4.89685","4.99399","4.13161","4.5488","4.77167","3.68729","5.60649","5.19118","3.85414","6.46596","4.7808","6.72973","5.41164","4.08661","4.38561","3.79065","6.46135","8.10605","5.03708","4.69847","4.149","8.37079","7.85052","6.39383","7.27253","3.99763"
"HSB98_A1C_R","A1C",0.3654,"3.84158","6.85095","4.61065","5.06357","3.94822","4.17172","4.93677","3.81566","5.85108","5.40219","3.67639","6.4919","4.72906","6.56144","5.26179","3.98915","4.3401","3.87364","6.55467","7.89226","5.01822","4.48464","3.64985","9.24555","8.30285","6.31042","6.82784","3.88477"
"HSB98_CBC_NA","CBC",0.3654,"3.94734","6.9252","4.75855","6.75119","3.93915","4.0114","4.99845","3.49201","5.69584","3.88586","3.92536","6.29404","4.6049","5.99171","5.71801","4.33139","4.31866","4.13128","7.84045","8.16327","5.28443","3.86356","3.74247","9.66095","7.17055","6.98102","6.15911","4.22879"
"HSB98_DFC_L","DFC",0.3654,"4.06324","6.62106","4.69985","4.98337","3.89727","4.34988","4.97261","3.69956","5.23868","5.4185","3.81956","6.70106","4.75115","6.05245","5.16327","4.06801","4.36832","4.09114","6.11171","8.03698","4.9502","4.90101","4.30468","8.23608","9.34585","5.95661","6.96316","4.21316"
"HSB98_DFC_R","DFC",0.3654,"4.28223","6.53431","4.901","5.11089","3.91423","4.5347","4.5476","3.77572","5.24015","5.42248","4.02393","6.96017","4.58599","6.11948","5.10653","4.05748","4.22687","4.03059","6.32795","8.15326","4.71898","4.71626","4.0516","8.48419","8.98527","6.20173","6.83818","3.88525"
"HSB98_HIP_L","HIP",0.3654,"4.05337","6.52756","4.88548","6.53942","3.81996","4.3829","4.93934","3.81159","6.34228","4.66459","4.42495","6.22149","4.61053","6.25523","5.93707","5.15472","4.07765","4.03578","7.90221","8.77838","5.37432","4.28831","4.1858","9.78219","10.9681","8.08163","6.79991","4.02956"
"HSB98_HIP_R","HIP",0.3654,"4.06131","6.80699","5.04432","7.00088","4.18862","4.15321","5.08293","3.85641","6.34864","3.87369","4.58297","6.49913","4.5559","6.08711","5.84357","5.62667","4.26803","4.22162","8.05506","9.11615","5.8451","4.66317","3.51275","10.1877","10.8986","8.30056","7.05573","4.0582"
"HSB98_IPC_L","IPC",0.3654,"3.72302","6.88774","4.87294","5.08787","3.80174","4.26675","4.65127","3.6485","5.50645","5.6181","3.82276","6.54538","4.63082","6.85504","5.16259","4.08884","4.35679","3.85969","6.82552","8.10169","4.95866","5.24435","3.76425","8.91422","8.51453","6.76821","7.35398","4.17916"
"HSB98_IPC_R","IPC",0.3654,"4.42012","6.76099","4.91993","5.20745","4.40454","4.69285","5.12009","3.80316","5.67236","5.75333","4.31141","6.91089","4.93007","6.45672","5.35433","4.44428","4.46952","3.92262","7.08672","8.1907","4.87229","4.9745","4.11928","8.6948","8.43549","6.99833","7.34295","3.93031"
"HSB98_MD_L","MD",0.3654,"3.66513","6.66321","4.56196","5.70864","3.63766","4.25893","4.26802","3.4328","6.83698","3.92401","3.60099","5.99367","4.46927","7.43656","5.10372","4.60684","3.99318","4.09798","7.46266","8.41358","5.40703","3.75264","3.8496","8.14157","6.36631","6.67383","5.95531","4.03003"
"HSB98_MD_R","MD",0.3654,"3.99257","6.7692","4.61974","6.10573","3.95891","4.17232","4.7593","3.52786","5.74335","3.93757","3.77796","6.1227","4.85492","7.05743","5.39514","6.00572","4.26787","4.20748","8.11539","8.34781","5.59044","3.98502","4.73286","8.75873","7.05613","7.43616","6.05352","3.99026"
"HSB98_MFC_L","MFC",0.3654,"3.76357","6.84358","4.75195","4.93252","3.72256","4.15388","4.7481","3.64815","5.47802","5.87992","3.90995","6.81522","4.51161","6.56895","5.22025","4.0045","4.15759","3.82195","6.59078","8.16249","4.41756","5.07179","3.82198","8.04655","8.64397","6.77022","7.38362","4.04819"
"HSB98_MFC_R","MFC",0.3654,"3.90799","6.91567","4.61577","6.13013","4.05336","4.18446","4.84474","3.89744","5.38811","5.23693","3.81142","6.82083","4.55353","5.93874","5.26178","3.97509","4.21816","3.98844","7.417","8.42664","5.23445","4.83266","3.68485","9.91494","9.53071","6.959","7.16841","4.09392"
"HSB98_STC_L","STC",0.3654,"3.93238","6.44631","4.91636","5.24616","3.67696","4.29482","4.81379","3.74871","5.90962","5.14236","3.99234","6.5398","4.67847","6.44943","4.87327","4.86436","4.30599","3.84868","7.0295","7.70158","4.74208","4.02295","4.15573","9.21283","7.98805","7.14345","6.90539","4.0866"
"HSB98_STC_R","STC",0.3654,"4.23914","6.46854","4.46704","5.1649","4.06935","4.71321","4.99343","4.09269","5.49668","6.01193","4.35066","6.57702","4.84579","6.53758","5.34711","4.81667","4.46717","4.02849","7.04002","7.97553","4.80471","4.41777","4.10777","8.79411","8.17233","6.29509","7.00022","4.33573"
"HSB98_STR_L","STR",0.3654,"4.03309","6.91883","4.72091","6.78434","3.96554","4.09514","5.07988","3.86844","4.57177","3.96221","3.76884","6.4492","4.73736","5.74637","5.6678","3.76779","4.22849","4.16067","7.66738","8.85315","4.93678","3.98489","4.05011","9.43823","5.92551","5.174","6.28615","3.83422"
"HSB98_STR_R","STR",0.3654,"3.71618","7.15486","4.63773","6.08096","3.90854","4.20003","4.51262","3.57389","5.46983","3.60136","3.66689","6.35683","4.33652","5.66608","4.93946","3.74965","4.00863","3.9755","7.41754","8.86121","5.145","4.00553","3.85399","9.95017","7.33057","6.84044","6.18953","4.06275"
"HSB98_V1C_L","V1C",0.3654,"3.85283","6.7154","4.86095","5.57221","3.9388","4.25034","4.83788","3.52355","5.29117","5.75344","4.20937","6.58097","4.68677","6.45009","5.13042","4.00265","4.41725","4.14753","7.95869","8.27386","5.0226","5.33959","4.23437","8.9228","8.14061","5.58334","6.64393","4.11999"
"HSB98_V1C_R","V1C",0.3654,"3.78099","7.04381","4.73313","5.20791","3.80246","4.56979","4.71528","3.83897","5.38666","5.66944","3.89007","6.65435","4.62739","6.45822","5.18363","3.77346","4.12547","3.91141","7.34215","7.73328","4.83891","4.835","3.99474","8.90989","7.49932","6.3657","6.78507","3.93149"
"HSB98_VFC_L","VFC",0.3654,"3.81205","6.74193","4.66202","5.35939","3.65217","4.23986","4.74649","3.71011","5.73358","5.80679","3.84889","6.70775","4.53473","6.20153","5.22347","3.98528","4.19158","3.91362","6.79947","8.3406","4.66629","4.63529","3.71687","8.82348","9.25801","6.18632","7.08085","4.15587"
"HSB98_VFC_R","VFC",0.3654,"3.82559","6.50836","4.52875","5.01909","3.59975","4.23109","4.55782","3.56427","5.51003","6.31472","4.02154","6.76026","4.6297","6.32062","5.14167","3.88373","4.04354","4.00511","6.63555","8.31255","4.33794","4.57331","3.70237","8.49231","8.12753","6.74139","7.31408","3.91247"
"HSB99_A1C_L","A1C",0.4038,"3.5826","7.06534","4.67159","4.96679","3.50881","4.14523","4.70147","3.40777","5.82449","5.14409","3.74827","6.63345","4.49384","7.09341","4.95925","4.47331","4.02182","3.76974","7.14943","7.99595","4.91874","4.48887","3.65687","8.97123","8.91914","5.89284","6.96309","3.70421"
